open,high,low,close,date
211.00,220.50,195.50,204.50,2010-08-02T00:00:00
203.10,243.50,202.70,227.00,2010-09-01T00:00:00
229.00,257.00,211.30,257.00,2010-10-01T00:00:00
259.20,285.00,245.50,247.00,2010-11-01T00:00:00
251.00,319.00,246.50,302.00,2010-12-01T00:00:00
303.60,326.90,284.50,310.00,2011-01-03T00:00:00
313.40,325.00,283.30,288.90,2011-02-01T00:00:00
291.10,324.90,275.00,303.40,2011-03-01T00:00:00
304.60,305.70,221.10,237.00,2011-04-01T00:00:00
237.50,248.70,208.10,243.50,2011-05-02T00:00:00
246.90,252.00,213.60,244.90,2011-06-01T00:00:00
245.60,270.20,234.80,248.50,2011-07-01T00:00:00
250.40,251.50,213.90,241.60,2011-08-01T00:00:00
243.00,264.60,211.10,211.10,2011-09-01T00:00:00
212.20,232.40,211.20,224.20,2011-10-03T00:00:00
222.90,254.00,212.10,218.20,2011-11-01T00:00:00
221.30,259.60,218.70,247.10,2011-12-01T00:00:00
249.80,254.00,234.60,248.20,2012-01-03T00:00:00
251.00,276.30,249.00,265.80,2012-02-01T00:00:00
267.20,279.00,254.00,260.90,2012-03-01T00:00:00
258.20,287.20,255.70,284.90,2012-04-02T00:00:00
286.00,307.00,278.00,281.00,2012-05-01T00:00:00
284.70,289.50,265.50,273.40,2012-06-01T00:00:00
272.50,297.20,272.00,281.00,2012-07-02T00:00:00
281.10,317.00,279.90,288.10,2012-08-01T00:00:00
288.70,290.70,267.40,279.00,2012-09-04T00:00:00
281.10,318.80,272.30,318.80,2012-10-01T00:00:00
322.80,345.80,314.00,340.10,2012-11-01T00:00:00
342.50,392.80,332.60,373.90,2012-12-03T00:00:00
372.60,381.70,342.30,352.70,2013-01-02T00:00:00
358.00,400.80,358.00,380.30,2013-02-01T00:00:00
385.80,404.40,379.20,391.20,2013-03-01T00:00:00
392.30,394.90,343.50,345.50,2013-04-01T00:00:00
345.70,346.70,276.20,306.30,2013-05-01T00:00:00
305.30,313.10,278.50,297.60,2013-06-03T00:00:00
295.30,339.00,288.30,310.50,2013-07-01T00:00:00
311.50,328.00,297.00,320.40,2013-08-01T00:00:00
320.30,363.40,320.30,344.10,2013-09-03T00:00:00
344.50,368.50,328.50,361.50,2013-10-01T00:00:00
362.50,377.30,355.00,364.80,2013-11-01T00:00:00
369.00,376.70,340.70,360.10,2013-12-02T00:00:00
359.90,373.00,351.00,353.80,2014-01-02T00:00:00
356.60,366.10,347.90,350.00,2014-02-03T00:00:00
351.00,366.90,324.50,335.80,2014-03-03T00:00:00
336.90,345.80,321.00,335.90,2014-04-01T00:00:00
335.80,347.00,309.80,312.30,2014-05-01T00:00:00
312.30,340.00,295.00,335.10,2014-06-02T00:00:00
334.90,348.00,320.00,324.40,2014-07-01T00:00:00
325.30,356.50,323.60,348.40,2014-08-01T00:00:00
348.80,353.00,325.00,332.90,2014-09-02T00:00:00
334.00,353.00,319.00,323.00,2014-10-01T00:00:00
327.90,336.90,315.30,327.70,2014-11-03T00:00:00
326.60,342.30,326.00,331.10,2014-12-01T00:00:00
331.00,333.50,302.60,321.80,2015-01-02T00:00:00
322.10,323.80,287.20,297.20,2015-02-02T00:00:00
